type,month,site,file_name,blade_num,prevelance,severity,lesion_area,healthy_area,correct_num
Final,July,C,In Situ Final July_C3.tif,0,0,0,0,7043.219184,FALSE
Final,July,C,In Situ Final July_C22.tif,0,1,5.736655344,751.2066003,12343.64668,FALSE
Final,July,C,In Situ Final July_C26.1.tif,0,1,14.86374979,3776.250611,21629.52292,FALSE
Final,July,C,In Situ Final July_C23.tif,0,1,8.291959839,1416.347238,15664.62356,FALSE
Final,July,C,In Situ Final July_C2.tif,0,1,3.919845993,636.3189498,15596.94508,FALSE
Final,July,B,In Situ Final July_B8.tif,0,1,5.715534722,741.8097088,12237.02333,FALSE
Final,July,B,In Situ Final July_B9.tif,0,1,12.99956698,847.3274342,5670.79302,FALSE
Final,July,B,In Situ Final July_B11.tif,0,1,4.995207537,496.7480544,9447.744757,FALSE
Final,July,B,In Situ Final July_B10.tif,0,1,13.67063024,1145.000535,7230.62308,FALSE
Final,July,B,In Situ Final July_B12.tif,0,1,17.48292635,1881.99764,8882.777104,FALSE
Final,July,B,In Situ Final July_B17.tif,0,1,9.991141647,681.2917139,6137.665899,FALSE
Final,July,B,In Situ Final July_B16.tif,0,1,6.077923671,559.5240358,8646.317731,FALSE
Final,July,B,In Situ Final July_B14.tif,0,1,18.91639336,1542.312686,6610.999927,FALSE
Final,July,B,In Situ Final July_B28.tif,0,1,19.22040247,3196.206942,13433.03351,FALSE
Final,July,B,In Situ Final July_B29.tif,0,0,0,0,4923.311379,FALSE
Final,July,B,In Situ Final July_B15.tif,0,1,0.857318249,30.831584,3565.450666,FALSE
Final,July,B,In Situ Final July_B18.tif,0,1,1.132849297,74.54591616,6505.845349,FALSE
Final,July,B,In Situ Final July_B24.tif,0,1,16.6845676,1266.755629,6325.623505,FALSE
Final,July,B,In Situ Final July_B30.tif,0,1,3.143626813,163.6590816,5042.400394,FALSE
Final,July,B,In Situ Final July_B25.tif,0,1,7.388300069,984.8416922,12344.90511,FALSE
Final,July,B,In Situ Final July_B19.tif,0,1,0.656827832,95.3352128,14419.1552,FALSE
Final,July,B,In Situ Final July_B27.tif,0,1,10.37921676,261.7358784,2259.994658,FALSE
Final,July,B,In Situ Final July_B26.tif,0,1,4.426077578,396.316192,8557.801422,FALSE
Final,July,B,In Situ Final July_B22.tif,0,1,25.67508004,2561.444852,7414.940221,FALSE
Final,July,B,In Situ Final July_B23.tif,0,1,13.86453297,1107.484879,6880.414038,FALSE
Final,July,B,In Situ Final July_B21.tif,0,1,5.134381418,220.8008832,4079.636993,FALSE
Final,July,B,In Situ Final July_B20.tif,0,1,3.954729841,340.5586656,8270.86814,FALSE
Final,July,B,In Situ Final July_B2.tif,0,1,0.052032914,4.7281088,9082.037227,FALSE
Final,July,B,In Situ Final July_B3.tif,0,1,9.421514952,474.9771808,4566.432648,FALSE
Final,July,B,In Situ Final July_B1.tif,0,1,0.99928205,101.3648998,10042.40781,FALSE
Final,July,B,In Situ Final July_B4.tif,0,1,10.18813625,2271.298973,20022.26795,FALSE
Final,July,B,In Situ Final July_B5.tif,0,1,15.6614889,1537.406599,8279.071318,FALSE
Final,July,B,In Situ Final July_B7.tif,0,1,23.82695309,5732.887651,18327.62747,FALSE
Final,July,B,In Situ Final July_B6.tif,0,0,0,0,946.3552461,FALSE
